State,District,Latitude,Longitude,ResolvedLocation,CoordinateSource,Year,Rainfall,Temperature,WeatherAggregation,WeatherDataSource
Punjab,Sangrur,30.211755355744923,75.8702448008922,Sangrur,geoBoundaries India ADM2 centroid,2018,691.7,23.54,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Sangrur,30.211755355744923,75.8702448008922,Sangrur,geoBoundaries India ADM2 centroid,2019,700.3,23.12,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Sangrur,30.211755355744923,75.8702448008922,Sangrur,geoBoundaries India ADM2 centroid,2020,674.6,23.09,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Sangrur,30.211755355744923,75.8702448008922,Sangrur,geoBoundaries India ADM2 centroid,2021,599.3,23.5,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Sangrur,30.211755355744923,75.8702448008922,Sangrur,geoBoundaries India ADM2 centroid,2022,728.4,24.1,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Sangrur,30.211755355744923,75.8702448008922,Sangrur,geoBoundaries India ADM2 centroid,2023,614.6,23.28,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2013,1161.7,25.31,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2014,1328.1,25.56,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2015,1738.7,25.77,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2016,1372.6,26.16,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2017,1888.5,25.67,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2018,1336.9,25.25,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2019,1604.4,25.53,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2020,1844.9,25.15,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2021,1859.8,25.64,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2022,1282.6,25.54,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,2023,1467.7,26.24,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2013,735.3,23.16,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2014,587.1,23.31,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2015,1158.5,22.87,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2016,611.4,24.34,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2017,856.2,23.16,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2018,913.8,22.96,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2019,1001.3,22.39,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2020,713.4,22.48,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
